state,District,MPCE_URP,MPCE_MRP,state_1
6,11,2383.6,2360.77,HR
6,11,1693.4,1841.67,HR
6,11,2137.0,2088.33,HR
6,11,1733.33,1703.84,HR
6,11,3713.2,3826.65,HR
6,11,1633.6,1368.26,HR
6,11,1129.0,1318.84,HR
6,15,3275.0,3476.78,HR
6,15,4362.25,4539.2,HR
6,15,3281.0,3504.77,HR
6,15,3955.67,4505.44,HR
6,15,2143.25,2541.33,HR
6,15,2014.43,2311.34,HR
6,15,1850.0,1966.47,HR
6,15,1225.67,1386.26,HR
6,10,2143.0,2116.53,HR
6,10,2059.67,2202.91,HR
6,10,2522.5,2312.19,HR
6,10,3302.0,2079.1,HR
6,10,2177.2,2094.65,HR
6,10,3180.33,2694.58,HR
6,10,1415.6,1481.3,HR
6,10,2197.6,2080.01,HR
6,7,5769.5,6490.87,HR
6,7,4685.75,5682.1,HR
6,7,1836.6,2075.23,HR
6,7,2125.5,2204.71,HR
6,7,2617.0,2776.04,HR
6,7,2745.25,2826.36,HR
6,7,1222.77,2310.09,HR
6,7,1321.0,1438.82,HR
6,4,3687.67,4827.85,HR
6,4,3646.33,3821.68,HR
6,4,1480.8,1665.55,HR
6,4,1206.71,1459.42,HR
6,4,4094.2,4393.67,HR
6,4,1618.33,1544.82,HR
6,4,1760.75,1621.98,HR
6,4,1406.8,1540.09,HR
6,5,3676.33,3090.63,HR
6,5,4103.0,4492.45,HR
6,5,1223.29,1346.06,HR
6,5,2767.86,2020.07,HR
6,5,2065.0,2293.16,HR
6,5,1529.43,1659.02,HR
6,5,1889.0,2106.44,HR
6,5,1075.83,1285.24,HR
6,7,4632.0,3895.42,HR
6,7,6727.0,9172.21,HR
6,7,1650.2,1741.1,HR
6,7,3924.0,3877.84,HR
6,7,1760.67,2128.02,HR
6,7,2094.5,1688.85,HR
6,7,1006.83,1185.85,HR
6,7,2260.6,2028.55,HR
6,3,3813.29,4302.01,HR
6,3,4086.5,3262.9,HR
6,3,3485.67,3737.28,HR
6,3,3564.25,4031.99,HR
6,3,2269.33,2621.3,HR
6,3,2326.64,2644.24,HR
6,3,2017.33,2213.09,HR
6,3,1200.13,1264.83,HR
6,6,2817.8,2732.44,HR
6,6,2845.33,2585.77,HR
6,6,1256.2,1332.75,HR
6,6,1363.8,1308.98,HR
6,6,1013.4,998.85,HR
6,6,1055.86,1033.18,HR
6,6,1428.0,1500.85,HR
6,6,1106.5,1051.04,HR
6,6,1329.25,1534.73,HR
6,6,3380.33,3991.84,HR
6,6,543.83,720.55,HR
6,6,720.83,859.19,HR
6,6,979.0,1294.07,HR
6,6,769.0,869.27,HR
6,6,1178.83,1249.38,HR
6,6,1054.86,656.68,HR
